@id,@lat,@lon,name,city,street,phone,website,brand,opening_hours,repair
4247656290,41.7992661,20.9072520,Green Media,Гостивар,Брака Гиноски 170,+38942615015,http://greenmedia.mk,,Mo-Sa 09:00-20:00,
4380887589,41.9890975,21.4608057,Канон Сенчо,Скопје,Булевар Јане Сандански,,https://www.newpages.com.mk/firmi/kanon-sencho/,,Mo-Fr 08:00-16:00,
4541352690,42.0047024,21.4427788,СААФ КОМПЈУТЕРИ,Скопје,Чаирска,+38976361700,,,Mo-Su 09:00-18:00,
5106995723,41.9945784,21.4338471,Anhoch GTC,Скопје,Кеј 13 Ноември,02 321 5068,www.anhoch.mk,All,Mo-Su 10:00-22:00,no
5106995724,41.9988802,21.4204422,Anhoch Bunjakovec,Скопје,Булевар Партизански Одреди,02 321 7528,www.anhoch.mk,All,Mo-Su 09:00-21:00,no
5106995725,41.9850942,21.4655471,Anhoch Бисер,Скопје,,2451-407,www.anhoch.mk,All,Mo-Fr 09:00-21:00; Sat 10:00-16:00,no
5106995726,41.9931131,21.4419882,Anhoch - Vero Centar,Скопје,Булевар Кузман Јосифовски Питу,02 323 2632,https://www.anhoch.com/,All,Mo-Su 10:00-22:00,no
5317250721,41.1193153,20.8025995,KCD Ohrid,Охрид,bul. Makedonski Prosvetiteli,+38978277700,,,Mo-Su 10:30-21:30,
5324469321,41.9993994,21.3926650,Баг Компјутери,Скопје,Прашка,+38923092674,http://www.bug.com.mk,All,Mo-Sa 09:00-17:30,no
5761412919,41.7914741,20.9146988,Setek,Гостивар,Беличица 34,042 353 800,http://setec.mk/,All,Mo-Fr 09:00-20:00; Sa 10:00-16:00,yes
6013937945,41.9847142,21.4497643,DDStore,Cкoпje,Фрањо Клуз,02 3 100 700,https://ddstore.mk/,ASUS  Lenovo  DELL  Xiaomi,Mo-Fr 09:00-17:00,
6834500785,41.1089796,20.8117537,Максипринт Компјутери,Охрид,Булевар Туристичка 4,+38946262500,www.maksiprint.com.mk/,many,Mo-Fr 08:30-16:00; Sat 09-14,yes
6837039491,41.1127071,20.8049129,Инфо-биро,Охрид,Ванчо Николески 3,+389 46 262139,infobiro.com.mk,,,yes
8917383065,41.0313185,21.3332866,GG Computers,Битола,Мите Богоевски 4,+389 70 779863,,,Mo-Fr 08:00-20:00; Sat 08:00-16:00,yes
9249362909,41.1310534,20.8179965,Нептун,Охрид,15-ти Корпус 45а,046 231 440,neptun.mk,All,Mo-Su 09:00-21:00,yes
9249370591,41.1145232,20.8005745,Anhoch маркет,Охрид,бул.Македонски Просветители 13-а,046 260442,www.anhoch.mk,All,Mo-Sa 09:00-21:00,no
9249407791,41.1155529,20.8060844,Домино,Охрид,бул.Туристичка 36,046 279495,,,Mo-Sa 09:00-21:00,no
9249457578,41.1167864,20.8033232,Нико-е шоп,Охрид,бул.Туристичка 50,046 263 553,www.songem.com.mk/,,Mo-Fr 09:30-17:00; Sat 09:30-12:00,
